ID;NOME;CPF;TEL;EMAIL;DATA;ENDERECO;STATUS
1;Elianderson Herbet Rodriges Moreira;123.456.789-01;(11) 91234-5678;eherbet@email.com;1999-03-11;Rua das Flores, 123 - São Paulo/SP;1
2;Weber Rodrigues Moreira;987.654.321-00;(11) 99876-4321;Weber.Rodrigues@email.com;2025-02-05;Av. Paulista, 1010 - São Paulo/SP;1
3;Carla Mendes Oliveira;345.678.901-22;(21) 97654-3210;carla.oliveira@email.com;2024-12-18;Rua Bela Vista, 45 - Rio de Janeiro/RJ;0
4;Diego Pereira Santos;789.012.345-67;(31) 98345-8877;diego.santos@email.com;2025-03-09;Rua dos Girassóis, 220 - Belo Horizonte/MG;1
5;Eduarda Lima Ferreira;234.567.890-12;(51) 99567-2234;eduarda.lima@email.com;2025-04-21;Av. Ipiranga, 305 - Porto Alegre/RS;1
6;Felipe Rocha Almeida;456.789.012-33;(41) 98456-7712;felipe.almeida@email.com;2025-05-02;Rua XV de Novembro, 88 - Curitiba/PR;0
7;Gabriela Souza Ramos;567.890.123-44;(71) 98123-9988;gabriela.ramos@email.com;2025-06-14;Av. Oceânica, 700 - Salvador/BA;1
9;Isabela Martins Duarte;789.012.345-66;(19) 99788-6655;isabela.duarte@email.com;2025-08-25;Rua Campos Sales, 502 - Campinas/SP;1
13;Marcos Rubens Valente;000000000000;102252655455;Marcis12345@hotmail.com;2000-10-11;Unip Marques;1
15;scascas;4354345354;53454545;cxzczx@xzczxczxczx;2000-11-13;czcxz,xczczx,425245;1
16;lucas teste;257257275;113352757575;ehrm@gmail.com;+20000-11-13;dfasdasdsada;0
17;Lucas Rodrigues;85412548545;1190000000;lucas123@gmail.com;2000-11-13;Rua claudio ghirelli, 225, São Paulo,SP;1
18;felipe;50643289825;(11) 500648252;felipeshr@gmail.com;2000-11-13;Rua claudio ghirelli, 228, São Paulo - SP;1
19;teste;52512521515;112526296;eherbet@email.com;2025-11-14;rua claudio ghirelli;1
